word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
storage,0.003342246,0,0,0,0,0,0,0,0,0,0.0075034106,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
specific,0,0,0.017206478,0,0,0,0,0,0,0.0039447732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outcomes,0,0,0,0,0,0,0,0,0,0,0,0.00044853106,0,0,0,0,0,0,0,0,0,0,0,0,0
map,0,0,0,0,0,0,0,0,0,0,0,0.017941242,0,0,0,0,0,0,0,0,0,0,0,0,0
revamped,0,0,0,0,0,0,0,0,0,0,0,0.00089706212,0,0,0,0,0.0011764706,0,0.00099403579,0,0,0,0,0,0
sector,0.03342246,0,0.0073380567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rdss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
outlay,0.0046791444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lakh,0,0,0,0,0,0,0,0,0,0,0,0.0040367795,0,0,0,0,0,0,0,0,0,0,0,0,0
rore,0,0,0,0,0.0011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
improve,0,0,0.0032894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
financial,0.010026738,0,0.0050607287,0.0014347202,0,0,0.014099783,0,0,0,0,0,0,0,0,0,0.0011764706,0,0,0.00097847358,0,0.013752456,0,0,0
health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053705693,0,0,0,0,0,0,0.056338028
metering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
deadline,0,0,0.00050607287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recently,0,0,0,0,0,0,0,0,0,0,0,0.0026911864,0,0,0,0,0,0,0,0,0,0,0,0,0
extended,0,0,0,0,0,0,0,0,0.0033482143,0,0,0,0,0,0,0,0,0,0,0,0,0.0039292731,0,0,0
