Source,Target,Weight,Type
48,0,0.0087565674,undirected
48,2,0.08056042,undirected
48,3,0.0087565674,undirected
48,4,0.017513135,undirected
48,5,0.0070052539,undirected
48,7,0.014010508,undirected
48,8,0.0017513135,undirected
48,9,0.37478109,undirected
48,11,0.13134851,undirected
48,17,0.003502627,undirected
48,18,0.010507881,undirected
48,20,0.010507881,undirected
48,24,0.024518389,undirected
49,0,0.0304,undirected
49,1,0.0096,undirected
49,2,0.0704,undirected
49,7,0.0048,undirected
49,8,0.0016,undirected
49,9,0.008,undirected
49,11,0.1584,undirected
49,15,0.336,undirected
49,17,0.016,undirected
49,18,0.0016,undirected
49,19,0.0048,undirected
50,1,0.0063920455,undirected
50,2,0.11860795,undirected
50,3,0.0056818182,undirected
50,6,0.013494318,undirected
50,8,0.0234375,undirected
50,9,0.0085227273,undirected
50,10,0.24502841,undirected
50,11,0.080255682,undirected
50,12,0.011363636,undirected
50,13,0.0063920455,undirected
50,17,0.040482955,undirected
50,18,0.0078125,undirected
50,19,0.00071022727,undirected
50,21,0.0063920455,undirected
50,23,0.034090909,undirected
50,24,0.034090909,undirected
51,0,0.0051724138,undirected
51,2,0.088793103,undirected
51,3,0.00086206897,undirected
51,4,0.00086206897,undirected
51,5,0.0068965517,undirected
51,7,0.0034482759,undirected
51,8,0.05862069,undirected
51,10,0.00086206897,undirected
51,11,0.057758621,undirected
51,13,0.37931034,undirected
51,14,0.0068965517,undirected
51,16,0.0017241379,undirected
51,17,0.010344828,undirected
51,20,0.0043103448,undirected
51,21,0.00086206897,undirected
51,22,0.018965517,undirected
52,0,0.022328549,undirected
52,2,0.05661882,undirected
52,3,0.004784689,undirected
52,5,0.011164274,undirected
52,7,0.0023923445,undirected
52,9,0.014354067,undirected
52,11,0.070175439,undirected
52,12,0.00079744817,undirected
52,14,0.011961722,undirected
52,17,0.090909091,undirected
52,18,0.010366826,undirected
52,19,0.34529506,undirected
52,20,0.00079744817,undirected
